Red Potion	50 mesos
Orange Potion	Orange Potion	160 mesos
White Potion	White Potion	320 mesos
Blue Potion	Blue Potion	192 mesos
Mana Elixir	Mana Elixir	604 mesos
Dexterity Potion	Dexterity Potion	500 mesos
Speed Potion	Speed Potion	400 mesos
Magic Potion	Magic Potion	500 mesos
Warrior Potion	Warrior Potion	500 mesos
Sniper Potion	Sniper Potion	500 mesos
Apple	Apple	30 mesos
Egg	Egg	50 mesos
Meat	Meat	106 mesos
Orange	Orange	97 mesos
Lemon	Lemon	305 mesos
Arrow for Bow	Arrow for Bow	1 mesos
Arrow for Crossbow	Arrow for Crossbow	1 mesos
Antidote	Antidote	200 mesos
Eyedrop	Eyedrop	200 mesos
Tonic	Tonic	300 mesos
Holy Water	Holy Water	500 mesos
Subi Throwing-Stars	Subi Throwing-Stars	500 mesos
