Red Potion	50 mesos
Orange Potion	Orange Potion	160 mesos
White Potion	White Potion	320 mesos
Blue Potion	Blue Potion	200 mesos
Mana Elixir	Mana Elixir	620 mesos
Apple	Apple	30 mesos
Egg	Egg	50 mesos
Meat	Meat	106 mesos
Orange	Orange	100 mesos
Lemon	Lemon	310 mesos
Unagi	Unagi	1,100 mesos
Pure Water	Pure Water	1,650 mesos
Return Scroll - Nearest Town	Return Scroll - Nearest Town	400 mesos
Return Scroll to Sleepywood	Return Scroll to Sleepywood	600 mesos
Arrow for Bow	Arrow for Bow	1 mesos
Arrow for Crossbow	Arrow for Crossbow	1 mesos
Subi Throwing-Stars	Subi Throwing-Stars	500 mesos
