Red Bean Porridge	400 mesos
Red Potion	Red Potion	50 mesos
Orange Potion	Orange Potion	160 mesos
White Potion	White Potion	320 mesos
Blue Potion	Blue Potion	200 mesos
Mana Elixir	Mana Elixir	620 mesos
Dexterity Potion	Dexterity Potion	500 mesos
Speed Potion	Speed Potion	400 mesos
Magic Potion	Magic Potion	500 mesos
Warrior Potion	Warrior Potion	500 mesos
Sniper Potion	Sniper Potion	500 mesos
Pure Water	Pure Water	1,650 mesos
Watermelon	Watermelon	3,200 mesos
Ice Cream Pop	Ice Cream Pop	2,300 mesos
Red Bean Sundae	Red Bean Sundae	4,000 mesos
Apple	Apple	30 mesos
Egg	Egg	50 mesos
Meat	Meat	106 mesos
Orange	Orange	100 mesos
Lemon	Lemon	310 mesos
Unagi	Unagi	1,100 mesos
Melting Cheese	Melting Cheese	4,500 mesos
Reindeer Milk	Reindeer Milk	5,600 mesos
Sunrise Dew	Sunrise Dew	8,100 mesos
Sunset Dew	Sunset Dew	10,200 mesos
Return Scroll - Nearest Town	Return Scroll - Nearest Town	400 mesos
Antidote	Antidote	200 mesos
Eyedrop	Eyedrop	200 mesos
Tonic	Tonic	300 mesos
Arrow for Bow	Arrow for Bow	1 mesos
Arrow for Crossbow	Arrow for Crossbow	1 mesos
Subi Throwing-Stars	Subi Throwing-Stars	500 mesos
