White Undershirt (M)	50 mesos
Undershirt (M) 	Undershirt (M)	50 mesos
Grey T-Shirt (M)	Grey T-Shirt (M)	50 mesos
White Tubetop (F)	White Tubetop (F)	50 mesos
Yellow T-Shirt (F)	Yellow T-Shirt (F)	50 mesos
Green T-Shirt (F)	Green T-Shirt (F)	50 mesos
Red-Striped Top	Red-Striped Top	50 mesos
Blue Jean Shorts (M)	Blue Jean Shorts (M)	50 mesos
Brown Cotton Shorts (M)	Brown Cotton Shorts (M)	50 mesos
Red Miniskirt (F) 	Red Miniskirt (F)	50 mesos
Indigo Miniskirt (F) 	Indigo Miniskirt (F)	50 mesos
Red Rubber Boots	Red Rubber Boots	50 mesos
Leather Sandals	Leather Sandals	50 mesos
